Company,Paddle,Core Thickness (mm),Condition,Price,Shape,Manufacturing Process,Surface Texture,Surface Material,Core Material,Spin RPM,Spin Percentile,Length (in),Width (in),Handle Length (in),Static Weight (oz),Swing Weight,Swing Weight Percentile,Twist Weight,Twist Weight Percentile,Balance Point (cm),Balance Point Percentile,Serve Speed-MPH (Power),Power Percentile,Punch Volley Speed-MPH (Pop),Pop Percentile,Surface Hardness (Shore D)
11Six24,Hurache Control,16,New,$79.99,Elongated,Cold Layered,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,107",70%,16.5,7.5,5.50,7.4,106,14%,5.55,12%,23.7,34%,52.5,13%,33.9,29%,91.0
11Six24,Hurache-X,16,New,$139.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber and Fiberglass,Polypropylene Honeycomb,"1,847",32%,16.5,7.5,6.00,8.2,119,67%,6.40,59%,24.1,61%,55.3,77%,35.0,72%,91.3
Bird,Ball Hawk Classic,14,New,$199.00,Standard,Cold Layered,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,099",70%,16.0,8.0,4.75,7.9,106,14%,7.05,92%,23.5,29%,51.3,3%,32.4,7%,89.0
Bird,Falcon Elite Ergo,14,New,$229.00,Ergo,Cold Layered,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"1,806",26%,14.5,8.0,N/A,8.7,,,,,18.9,0%,52.8,21%,31.0,1%,89.8
Bread & Butter,Drip Contender,16,New,$95.00,Elongated,Cold Layered,Grit,T700 Carbon Fiber,Polypropylene Honeycomb,"1,017",0%,16.4,7.5,5.00,8.3,,,,,,,,,,,
Bread & Butter,Drip Verge,16,New,$95.00,Elongated,Cold Layered,Grit,T700 Carbon Fiber,Polypropylene Honeycomb,"1,046",1%,16.4,7.5,5.00,8.3,,,,,,,,,,,
Bread & Butter,Filth,16,New,$165.00,Elongated,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"1,865",37%,16.5,7.4,5.50,7.9,121,76%,6.20,48%,24.2,66%,55.2,74%,35.6,87%,88.7
Bread & Butter,Loco,16,New,$165.00,Hybrid,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,091",68%,16.3,7.7,5.30,7.7,114,43%,6.10,40%,24.1,61%,54.6,55%,35.2,82%,91.3
Bread & Butter,Spear Breakout,13,New,$80.00,Standard,Cold Layered,Grit,T700 Carbon Fiber,Polypropylene Honeycomb,"1,156",4%,15.9,7.9,5.00,7.6,,,,,,,,,,,
Bread & Butter,Spear Juno,16,New,$80.00,Standard,Cold Layered,Grit,T700 Carbon Fiber,Polypropylene Honeycomb,"1,081",2%,15.9,7.9,5.00,7.6,,,,,,,,,,,
Cheetah,Predion E16 Edgeless,16,New,$200.00,Elongated,Thermoformed,Grit,3K Woven Carbon Fiber,Aramid Fiber Honeycomb,"1,556",14%,16.5,7.5,5.50,7.7,106,14%,5.37,10%,23.3,23%,52.8,21%,34.3,44%,89.5
Cheetah,Predion E16-with lead tape,16,New,$200.00,Elongated,Thermoformed,Grit,3K Woven Carbon Fiber,Aramid Fiber Honeycomb,"1,556",14%,16.5,7.5,5.50,8.4,115,49%,7.23,95%,23.5,29%,54.1,44%,34.3,44%,89.5
Chorus,Shapeshifter,16,New,$189.99,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,139",74%,16.3,7.5,5.30,8.2,118,65%,6.73,76%,24.0,55%,55.1,71%,34.5,52%,92.2
Chorus,Shapeshifter-prototype,16,New,$189.99,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,139",74%,16.3,7.5,5.30,7.8,114,48%,6.14,42%,24.1,61%,55.1,71%,34.6,55%,93.7
Core,Reaction Pro Elongated,16,New,$124.99,Elongated,Cold Layered,Peel Ply-Fine,T700 Carbon Fiber,Polypropylene Honeycomb,"1,863",36%,16.5,7.4,5.80,8.2,125,92%,6.03,37%,24.8,93%,54.4,51%,33.9,29%,
Core,Reaction Pro Standard,16,New,$124.99,Standard,Cold Layered,Peel Ply-Fine,T700 Carbon Fiber,Polypropylene Honeycomb,"1,892",41%,15.8,8.0,5.13,8.2,112,35%,7.25,97%,23.8,41%,53.5,35%,34.0,32%,93.8
CRBN,CRBN 1X,14,New,$229.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,244",90%,16.5,7.3,5.50,8.0,116,54%,5.78,27%,24.2,66%,54.7,58%,34.4,47%,89.5
CRBN,CRBN 2X,16,New,$229.99,Standard,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,975",50%,15.8,8.0,4.75,8.0,110,28%,7.50,100%,23.5,29%,53.5,35%,34.4,47%,88.3
CRBN 1,CRBN1 Control,14,New,$179.99,Elongated,Cold Layered,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,171",79%,16.5,7.3,5.50,7.9,,,,,,,,,,,
CRBN 1,CRBN1 Control (USAP-Banned 2021),14,New,$179.99,Elongated,Cold Layered,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"1,943",48%,16.5,7.3,5.50,7.9,,,,,,,,,,,
Diadem,Edge 18K,16,New,$229.95,Elongated,Cold Layered,Peel Ply-Coarse,18k Carbon Fiber,Polypropylene Honeycomb,"2,304",94%,16.4,7.5,5.30,7.9,122,80%,6.25,52%,24.1,61%,53.0,28%,34.1,34%,89.0
Diadem,Icon V2 XL,13.7,New,$199.95,Standard,Hot Molded,Grit,Carbon Fiber (Japanese-Sourced),Polypropylene Honeycomb (2 sheets),"1,718",19%,16.0,7.6,5.25,8.2,125,90%,5.69,15%,24.5,81%,54.2,48%,35.0,72%,85.8
Diadem,Vice,16,New,$224.95,Elongated,Unibody Edgeless,Grit,Carbon Fiber,EVA Foam,"1,789",25%,16.4,7.4,5.30,7.9,114,44%,5.73,22%,,,59.0,98%,33.8,26%,78.0
Diadem,Warrior,19,New,$229.95,Elongated,Cold Layered,Grit,Carbon Fiber,Polypropylene + Aramid,"1,744",22%,16.4,7.4,5.30,8.6,133,100%,7.25,97%,24.7,91%,52.6,15%,31.0,1%,86.5
Electrum,Model E,16,Used-6 months,$119.99,Elongated,Cold Layered,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,575",16%,16.5,7.4,5.25,8.2,122,80%,6.80,80%,,,,,,,
Electrum,Model E Elite,16,New,$199.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,028",58%,16.5,7.4,5.25,8.4,124,88%,7.14,94%,24.7,91%,55.7,87%,35.7,90%,87.7
Electrum,Model E Stealth,16,New,$220.00,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,810",27%,16.5,7.3,5.38,7.7,107,21%,5.00,2%,23.30,23%,55.6,83%,35.6,87%,92.7
Electrum,Model E Stealth-with 0.5 oz. lead tape,16,New,$220.00,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,810",27%,16.5,7.3,5.38,8.2,109,27%,6.10,40%,23.20,19%,55.0,68%,35.0,72%,92.7
Electrum,Pro II,11,Used-1 month,$149.99,Standard,Hot Molded,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,089",68%,16.0,8.0,5.25,7.6,106,14%,6.75,77%,23.7,34%,51.0,1%,34.3,44%,89.8
Electrum,Pro II Stealth,12,New,$220.00,Standard,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,204",85%,16.0,7.8,5.25,7.0,93,1%,4.83,2%,23.10,16%,53.1,28%,36.4,96%,93.8
Electrum,Pro II Stealth-with 0.5 oz. lead tape,12,New,$220.00,Standard,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,204",85%,16.0,7.8,5.25,7.5,97,3%,6.35,56%,22.80,13%,55.0,68%,36.0,94%,93.8
Electrum,Pro Stealth,12,New,$220.00,Wide Body,Unibody Edgeless,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,927",46%,15.6,8.3,5.00,7.3,92,0%,5.63,14%,22.5,3%,52.6,15%,36.1,95%,93.2
