Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
All Court Hurache-X ,11SIX24,$149.99,PBEFFECT,https://a8qh.short.gy/HXAC,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,6.00,4.13,8.18,121,85%,6.33,49%,245,Very High,2027,55.7,46%,36.0,44%
All Court Pegasus,11SIX24,$129.99,PBEFFECT,https://a8qh.short.gy/PAC,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,5.50,4.13,8.20,113,35%,7.26,95%,237,Very High,2032,55.2,32%,35.5,25%
All Court Vapor,11SIX24,$129.99,PBEFFECT,https://a8qh.short.gy/VAC,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,5.75,4.13,8.16,117,63%,6.80,79%,241,Very High,2059,55.3,36%,35.4,22%
Alpha Pro Power Hurache-X,11SIX24,$199.99,PBEFFECT,https://a8qh.short.gy/APPE,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,6.00,4.13,8.10,118,70%,6.29,45%,238,,,,,,
Alpha Pro Power Pegasus,11SIX24,$199.99,PBEFFECT,https://a8qh.short.gy/APPP,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.13,8.00,107,7%,7.12,91%,229,,,,,,
Alpha Pro Power Vapor,11SIX24,$199.99,PBEFFECT,https://a8qh.short.gy/APPH,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.75,4.13,8.00,112,29%,6.76,77%,236,,,,,,
Jelly Bean Hurache-X ,11SIX24,$99.99,PBEFFECT,https://a8qh.short.gy/HJB16,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,Control,16,6.00,4.13,8.14,122,88%,6.36,51%,242,,,,,,
Jelly Bean Vapor,11SIX24,$99.99,PBEFFECT,https://a8qh.short.gy/JBV,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1.5,Control,16,5.75,4.13,8.00,115,49%,6.67,71%,240,,,,,,
Power Hurache-X ,11SIX24,$169.99,PBEFFECT,https://a8qh.short.gy/HXP,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,6.00,4.13,8.15,117,63%,6.40,53%,240,Very High,2033,56.3,72%,36.0,44%
Power Pegasus,11SIX24,$169.99,PBEFFECT,https://a8qh.short.gy/PP,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.13,8.33,111,23%,7.60,99%,233,Very High,2085,55.8,52%,36.2,55%
Power Vapor,11SIX24,$169.99,PBEFFECT,https://a8qh.short.gy/VP,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.75,4.13,8.30,116,56%,7.10,90%,237,Very High,2065,56.0,61%,36.1,50%
Metalbone EVA 16mm (red no weights),Adidas,$249.00,PBEFFECT,https://a8qh.short.gy/MBE16,2025,Unapproved,Elongated,Carbon,Paint Grit,Gen 4,Power,16,5.50,4.25,8.30,124,94%,5.63,9%,247,Very High,2085,58.2,100%,37.6,99%
Metalbone PP 14.5mm (no weights),Adidas,$229.00,PBEFFECT,https://a8qh.short.gy/MB14,2025,USAP/UPA-A,Elongated,Carbon,Paint Grit,Gen 2,All-Court,15,5.50,4.25,8.00,111,23%,5.10,1%,236,Very High,2011,54.1,14%,35.1,17%
Metalbone PP 16mm (no weights),Adidas,$249.00,PBEFFECT,https://a8qh.short.gy/MB16,2025,USAP,Elongated,Carbon,Paint Grit,Gen 2,Control,16,5.50,4.25,8.10,116,56%,5.26,2%,241,Very High,2086,54.2,16%,35.4,22%
Metalbone Team EVA 16mm (blue),Adidas,$209.00,PBEFFECT,https://a8qh.short.gy/MBT,2025,Unapproved,Elongated,Carbon,Paint Grit,Gen 4,Power,16,5.50,4.25,7.90,113,35%,5.03,1%,241,High,1978,57.8,99%,37.3,97%
